Name,Address,Latitude,Longitude
LEGEND,127 W 72ND ST NYC 10023,40.77807265,-73.9796116
LEGEND BAR & RESTAURANT,88 7TH AVENUE NYC 10011,40.739558,-73.9991822
LENNY'S BAGELS,2601 BROADWAY  NYC 10025,40.796111,-73.970854
LINCOLN PARK GRILL,867 9TH AVENUE NYC 10019,40.7675436666667,-73.9861103333333
LITTLE ITALY PIZZA/PAPAYA DOG,2 EAST 33RD STREET NYC 10016,40.744005,-73.975775
LUZZO'S LA MTP,52 GANSEVOORT ST NYC 10014,40.73920425,-74.0069592634598
MADANGSUI,35 WEST 35TH STREET NYC 10001,40.7498968,-73.9856418
MAMA EATERY,46 MULBERRY STREET NYC 10013,40.71502145,-73.9994470467007
MAMI RESTAURANT,1830 AMSTERDAM AVE NYC 10031,40.8288995,-73.9451559
MANHATANVILLE COFFEE,142 EDGECOMBE AVE NYC 10030,40.8213119,-73.9445609
MANNA'S RESTAURANT,54 EAST 125TH STREET NYC 10035,40.8054766,-73.9404227
MANSIONS CATERING,4042 WEST 8TH STREET NYC 10011,40.732946,-73.9979869
MARS CAFE,58 WEST 39TH STREET NYC 10018,40.7524679,-73.98493635
MARU,11 W 32ND ST NYC 10001,40.74769455,-73.9862394580736
MCDONALD'S,3549 BROADWAY NYC 10031,40.8267445454545,-73.9503471818182
MEE NOODLE & GRILL,922 2ND AVENUE NYC 10017,40.7540835,-73.968892
MIDTOWN RESTAURANT,155 EAST 55TH STREET NYC 10022,40.75945325,-73.9690628483379
MIKE'S COFFEE SHOP,44 EAST 32ND STREET NYC 10016,40.7458638,-73.9829144684254
MINCA RAMEN FACTORY,536 EAST 5TH STREET NYC 10009,40.72400225,-73.9829651271862
MING'S DELIGHT,594 3RD AVENUE NYC 10016,40.7487146,-73.976068
MINI EXPRESS,1418 ELIZABETH STREET NYC 10013,40.720627,-73.9949689
MISSION CEVICHE,52 GANSEVOORT ST NYC 10014,40.73920425,-74.0069592634598
MOONCAKE FOODS,263 WEST 30TH STREET NYC 10001,40.74963675,-73.9946486502489
MOONSTRUCK (IN BELLEVUE),462 1ST AVE NYC 10016,40.73919815,-73.9753239372801
MULDOONS BAR,692 3RD AVENUE NYC 10017,40.7518486363636,-73.9737853636364
MUSTANG CAFE,22 WEST 38TH STREET NYC 10018,40.7513727,-73.9839474
NANNI RESTAURANT,146 EAST 46TH STREET NYC 10017,40.75357865,-73.973679716852
NEW GOOD TASTE CHINESE RESTAURANT,3371 BROADWAY NYC 10031,40.8212404,-73.9545718
NINO'S RESTAURANT,1354 1ST AVENUE NYC 10021,40.76813335,-73.9553657017054
NOODIES,830 9TH AVENUE NYC 10019,40.7663384,-73.9866498
NOODLE Q,2 E BROADWAY NYC 10038,40.708304,-74.0112479
NOTARO RESTAURANT,635 2ND AVENUE NYC 10016,40.7453115,-73.975797
OOKI SUSHI,1575 3RD AVENUE NYC 10128,40.7803007,-73.9525721
